# Region      : all 
# Cells       : 144375
# Volume      : 2.968402e-04
# Time        	volAverage(p)	volAverage(T)	volAverage(CH4)	volAverage(CO)	volAverage(k)	volAverage(omega)
0             	1.000000e+05	3.230000e+02	5.491516e-02	0.000000e+00	1.000000e+00	3.000000e+03
1e-05         	1.000001e+05	3.230004e+02	5.491516e-02	0.000000e+00	9.986863e-01	3.788958e+03
2e-05         	1.000003e+05	3.230010e+02	5.491516e-02	0.000000e+00	9.973771e-01	3.786946e+03
3e-05         	1.000004e+05	3.230018e+02	5.491516e-02	0.000000e+00	9.960722e-01	3.784937e+03
4e-05         	1.000006e+05	3.230027e+02	5.491516e-02	0.000000e+00	9.947714e-01	3.782915e+03
5e-05         	1.000008e+05	3.230037e+02	5.491516e-02	0.000000e+00	9.934746e-01	3.780881e+03
6e-05         	1.000010e+05	3.230048e+02	5.491516e-02	0.000000e+00	9.921818e-01	3.778835e+03
7e-05         	1.000011e+05	3.230060e+02	5.491516e-02	0.000000e+00	9.908928e-01	3.776779e+03
8e-05         	1.000013e+05	3.230073e+02	5.491516e-02	0.000000e+00	9.896075e-01	3.774713e+03
9e-05         	1.000015e+05	3.230086e+02	5.491516e-02	0.000000e+00	9.883258e-01	3.772637e+03
0.0001        	1.000017e+05	3.230100e+02	5.491516e-02	0.000000e+00	9.870476e-01	3.770553e+03
0.00011       	1.000018e+05	3.230115e+02	5.491516e-02	0.000000e+00	9.857728e-01	3.768461e+03
0.00012       	1.000020e+05	3.230132e+02	5.491516e-02	4.262099e-23	9.845014e-01	3.766362e+03
0.00013       	1.000022e+05	3.230149e+02	5.491516e-02	1.281761e-20	9.832333e-01	3.764219e+03
0.00014       	1.000023e+05	3.230167e+02	5.491516e-02	2.164644e-18	9.819686e-01	3.762117e+03
0.00015       	1.000025e+05	3.230185e+02	5.491516e-02	9.560118e-16	9.807071e-01	3.760012e+03
0.00016       	1.000027e+05	3.230205e+02	5.491516e-02	6.433214e-14	9.794489e-01	3.757905e+03
0.00017       	1.000028e+05	3.230226e+02	5.491516e-02	7.019827e-12	9.781940e-01	3.755797e+03
0.00018       	1.000030e+05	3.230248e+02	5.491515e-02	4.307292e-10	9.769423e-01	3.753688e+03
0.00019       	1.000031e+05	3.230273e+02	5.491505e-02	3.801904e-08	9.756939e-01	3.751611e+03
0.0002        	1.000034e+05	3.230341e+02	5.491466e-02	5.939167e-07	9.744492e-01	3.750061e+03
