# Region      : all 
# Cells       : 144375
# Volume      : 2.968402e-04
# Time        	volIntegrate(rho)	volIntegrate(rhoh)	volIntegrate(rhoCH4)
0             	3.054541e-04	7.713537e+01	1.677406e-05
1e-05         	3.054541e-04	7.713537e+01	1.677406e-05
2e-05         	3.054541e-04	7.713561e+01	1.677406e-05
3e-05         	3.054541e-04	7.713576e+01	1.677406e-05
4e-05         	3.054541e-04	7.713593e+01	1.677406e-05
5e-05         	3.054541e-04	7.713610e+01	1.677406e-05
6e-05         	3.054541e-04	7.713627e+01	1.677406e-05
7e-05         	3.054541e-04	7.713645e+01	1.677406e-05
8e-05         	3.054541e-04	7.713663e+01	1.677406e-05
9e-05         	3.054541e-04	7.713681e+01	1.677406e-05
0.0001        	3.054541e-04	7.713698e+01	1.677406e-05
0.00011       	3.054541e-04	7.713715e+01	1.677406e-05
0.00012       	3.054541e-04	7.713733e+01	1.677406e-05
0.00013       	3.054541e-04	7.713750e+01	1.677406e-05
0.00014       	3.054541e-04	7.713767e+01	1.677406e-05
0.00015       	3.054541e-04	7.713783e+01	1.677406e-05
0.00016       	3.054541e-04	7.713800e+01	1.677406e-05
0.00017       	3.054541e-04	7.713816e+01	1.677406e-05
0.00018       	3.054541e-04	7.713832e+01	1.677406e-05
0.00019       	3.054541e-04	7.713847e+01	1.677405e-05
0.0002        	3.054541e-04	7.713857e+01	1.677404e-05
0.00021       	3.054541e-04	7.713897e+01	1.677404e-05
0.00022       	3.054541e-04	7.713925e+01	1.677403e-05
0.00023       	3.054541e-04	7.713947e+01	1.677403e-05
0.00024       	3.054541e-04	7.713962e+01	1.677403e-05
0.00025       	3.054541e-04	7.713973e+01	1.677403e-05
0.00026       	3.054541e-04	7.713982e+01	1.677403e-05
0.00027       	3.054541e-04	7.713995e+01	1.677403e-05
0.00028       	3.054541e-04	7.714006e+01	1.677403e-05
0.00029       	3.054541e-04	7.714020e+01	1.677403e-05
0.0003        	3.054541e-04	7.714035e+01	1.677403e-05
0.00031       	3.054541e-04	7.714050e+01	1.677403e-05
0.00032       	3.054541e-04	7.714065e+01	1.677403e-05
0.00033       	3.054541e-04	7.714082e+01	1.677402e-05
0.00034       	3.054541e-04	7.714099e+01	1.677402e-05
0.00035       	3.054541e-04	7.714116e+01	1.677402e-05
0.00036       	3.054541e-04	7.714133e+01	1.677402e-05
0.00037       	3.054541e-04	7.714152e+01	1.677402e-05
0.00038       	3.054541e-04	7.714174e+01	1.677402e-05
0.00039       	3.054541e-04	7.714198e+01	1.677402e-05
0.0004        	3.054541e-04	7.714221e+01	1.677402e-05
0.00041       	3.054541e-04	7.714242e+01	1.677401e-05
0.00042       	3.054541e-04	7.714260e+01	1.677401e-05
0.00043       	3.054541e-04	7.714278e+01	1.677401e-05
0.00044       	3.054541e-04	7.714295e+01	1.677401e-05
0.00045       	3.054541e-04	7.714313e+01	1.677401e-05
0.00046       	3.054541e-04	7.714331e+01	1.677401e-05
0.00047       	3.054541e-04	7.714349e+01	1.677401e-05
0.00048       	3.054541e-04	7.714366e+01	1.677400e-05
0.00049       	3.054541e-04	7.714382e+01	1.677400e-05
0.0005        	3.054541e-04	7.714396e+01	1.677400e-05
0.00051       	3.054541e-04	7.714410e+01	1.677400e-05
0.00052       	3.054541e-04	7.714422e+01	1.677400e-05
