# Region      : cellZone ignition
# Cells       : 1
# Volume      : 2.655875e-09
# Time        	volAverage(T)	volAverage(CH4)
0             	3.230000e+02	5.491516e-02
1e-05         	3.676032e+02	5.491516e-02
2e-05         	4.177227e+02	5.491516e-02
3e-05         	4.726616e+02	5.491516e-02
4e-05         	5.337818e+02	5.491516e-02
5e-05         	6.013068e+02	5.491516e-02
6e-05         	6.753080e+02	5.491516e-02
7e-05         	7.558738e+02	5.491516e-02
8e-05         	8.431324e+02	5.491516e-02
9e-05         	9.372330e+02	5.491516e-02
0.0001        	1.038407e+03	5.491516e-02
0.00011       	1.147099e+03	5.491516e-02
0.00012       	1.263716e+03	5.491515e-02
0.00013       	1.388585e+03	5.491514e-02
0.00014       	1.521372e+03	5.491500e-02
0.00015       	1.662993e+03	5.491366e-02
0.00016       	1.813708e+03	5.490081e-02
0.00017       	1.973450e+03	5.478658e-02
0.00018       	2.141170e+03	5.382918e-02
0.00019       	2.347116e+03	4.344633e-02
0.0002        	3.000000e+03	1.282994e-03
0.00021       	3.000000e+03	1.869689e-03
0.00022       	3.000000e+03	3.402035e-03
0.00023       	3.000000e+03	6.127373e-03
0.00024       	3.000000e+03	4.448701e-03
0.00025       	3.000000e+03	4.351508e-03
0.00026       	3.000000e+03	3.577489e-03
0.00027       	3.000000e+03	4.164854e-03
0.00028       	3.000000e+03	4.204475e-03
0.00029       	3.000000e+03	3.923585e-03
0.0003        	3.000000e+03	4.032391e-03
0.00031       	3.000000e+03	4.249102e-03
0.00032       	3.000000e+03	4.492405e-03
0.00033       	3.000000e+03	5.097797e-03
0.00034       	3.000000e+03	5.109022e-03
0.00035       	3.000000e+03	4.759542e-03
0.00036       	3.000000e+03	4.390163e-03
0.00037       	3.000000e+03	5.512656e-03
0.00038       	3.000000e+03	6.065033e-03
0.00039       	3.000000e+03	6.396303e-03
0.0004        	3.000000e+03	5.767987e-03
0.00041       	3.000000e+03	5.053624e-03
0.00042       	3.000000e+03	4.295871e-03
0.00043       	3.000000e+03	4.093524e-03
0.00044       	3.000000e+03	4.246095e-03
0.00045       	3.000000e+03	4.573837e-03
0.00046       	3.000000e+03	4.323448e-03
0.00047       	3.000000e+03	4.263837e-03
0.00048       	3.000000e+03	3.707118e-03
0.00049       	3.000000e+03	3.591552e-03
0.0005        	3.000000e+03	3.205664e-03
0.00051       	3.000000e+03	3.108411e-03
0.00052       	3.000000e+03	2.870405e-03
0.00053       	3.000000e+03	2.867754e-03
0.00054       	3.000000e+03	2.943744e-03
0.00055       	3.000000e+03	2.970797e-03
0.00056       	3.000000e+03	2.850200e-03
0.00057       	3.000000e+03	2.775800e-03
0.00058       	3.000000e+03	2.870993e-03
0.00059       	3.000000e+03	2.933194e-03
0.0006        	3.000000e+03	2.858075e-03
0.00061       	3.000000e+03	2.819328e-03
0.00062       	3.000000e+03	2.824565e-03
0.00063       	3.000000e+03	2.866221e-03
0.00064       	3.000000e+03	2.844327e-03
0.00065       	3.000000e+03	2.774843e-03
0.00066       	3.000000e+03	2.867100e-03
0.00067       	3.000000e+03	2.886233e-03
0.00068       	3.000000e+03	2.866303e-03
0.00069       	3.000000e+03	2.771165e-03
0.0007        	3.000000e+03	2.836901e-03
0.00071       	3.000000e+03	2.857020e-03
0.00072       	3.000000e+03	2.841078e-03
0.00073       	3.000000e+03	2.724396e-03
0.00074       	3.000000e+03	2.801360e-03
0.00075       	3.000000e+03	2.802828e-03
0.00076       	3.000000e+03	2.758727e-03
0.00077       	3.000000e+03	2.738398e-03
0.00078       	3.000000e+03	2.775979e-03
0.00079       	3.000000e+03	2.764870e-03
0.0008        	3.000000e+03	2.663273e-03
0.00081       	3.000000e+03	2.652409e-03
0.00082       	3.000000e+03	2.729673e-03
0.00083       	3.000000e+03	2.649469e-03
0.00084       	3.000000e+03	2.639214e-03
0.00085       	3.000000e+03	2.591659e-03
0.00086       	3.000000e+03	2.198941e-03
0.00087       	3.000000e+03	1.775855e-03
0.00088       	3.000000e+03	1.518909e-03
0.00089       	3.000000e+03	1.337294e-03
0.0009        	3.000000e+03	1.059385e-03
0.00091       	3.000000e+03	7.535454e-04
0.00092       	3.000000e+03	5.208732e-04
0.00093       	3.000000e+03	4.242355e-04
0.00094       	3.000000e+03	4.194692e-04
0.00095       	3.000000e+03	4.121131e-04
0.00096       	3.000000e+03	3.814136e-04
0.00097       	3.000000e+03	3.431257e-04
0.00098       	3.000000e+03	3.082479e-04
0.00099       	3.000000e+03	2.796107e-04
0.001         	3.000000e+03	2.524998e-04
0.00101       	3.000000e+03	2.311490e-04
0.00102       	3.000000e+03	2.143581e-04
0.00103       	3.000000e+03	2.034545e-04
0.00104       	3.000000e+03	1.937366e-04
0.00105       	3.000000e+03	1.879496e-04
0.00106       	3.000000e+03	1.824142e-04
0.00107       	3.000000e+03	1.803211e-04
0.00108       	3.000000e+03	1.767183e-04
0.00109       	3.000000e+03	1.772131e-04
0.0011        	3.000000e+03	1.768804e-04
0.00111       	3.000000e+03	1.774281e-04
0.00112       	3.000000e+03	1.768763e-04
0.00113       	3.000000e+03	1.783574e-04
0.00114       	3.000000e+03	1.793797e-04
0.00115       	3.000000e+03	1.803993e-04
0.00116       	3.000000e+03	1.808326e-04
0.00117       	3.000000e+03	1.832038e-04
0.00118       	3.000000e+03	1.854684e-04
0.00119       	3.000000e+03	1.912326e-04
0.0012        	3.000000e+03	1.962277e-04
0.00121       	3.000000e+03	1.992465e-04
0.00122       	3.000000e+03	2.027516e-04
0.00123       	3.000000e+03	2.086310e-04
0.00124       	3.000000e+03	2.144460e-04
0.00125       	3.000000e+03	2.196612e-04
0.00126       	3.000000e+03	2.258389e-04
0.00127       	3.000000e+03	2.310930e-04
0.00128       	3.000000e+03	2.368194e-04
0.00129       	3.000000e+03	2.408718e-04
0.0013        	3.000000e+03	2.468516e-04
0.00131       	3.000000e+03	2.571646e-04
0.00132       	3.000000e+03	2.572911e-04
0.00133       	3.000000e+03	2.579952e-04
0.00134       	3.000000e+03	2.626343e-04
0.00135       	3.000000e+03	2.707607e-04
0.00136       	3.000000e+03	2.698113e-04
0.00137       	3.000000e+03	2.735846e-04
0.00138       	3.000000e+03	2.703929e-04
0.00139       	3.000000e+03	2.724001e-04
0.0014        	3.000000e+03	2.711311e-04
0.00141       	3.000000e+03	2.681580e-04
0.00142       	3.000000e+03	2.681586e-04
0.00143       	3.000000e+03	2.688929e-04
0.00144       	3.000000e+03	2.688014e-04
0.00145       	3.000000e+03	2.717415e-04
0.00146       	3.000000e+03	2.688602e-04
0.00147       	3.000000e+03	2.721947e-04
0.00148       	3.000000e+03	2.751780e-04
0.00149       	3.000000e+03	2.812433e-04
0.0015        	3.000000e+03	2.831091e-04
0.00151       	3.000000e+03	2.776484e-04
0.00152       	3.000000e+03	2.736993e-04
0.00153       	3.000000e+03	2.776938e-04
0.00154       	3.000000e+03	2.752446e-04
0.00155       	3.000000e+03	2.683061e-04
0.00156       	3.000000e+03	2.677170e-04
0.00157       	3.000000e+03	2.673919e-04
0.00158       	3.000000e+03	2.653653e-04
0.00159       	3.000000e+03	2.680453e-04
0.0016        	3.000000e+03	2.628012e-04
0.00161       	3.000000e+03	2.610177e-04
0.00162       	3.000000e+03	2.632293e-04
0.00163       	3.000000e+03	2.611917e-04
0.00164       	3.000000e+03	2.563072e-04
0.00165       	3.000000e+03	2.589152e-04
0.00166       	3.000000e+03	2.577083e-04
0.00167       	3.000000e+03	2.584524e-04
0.00168       	3.000000e+03	2.556000e-04
0.00169       	3.000000e+03	2.513309e-04
